,2048,4096,6144,8192,10240,12288,14336,16384,18432,20480,22528,24576,26624,28672,30720,32768,34816,36864,38912,40960,43008,45056,47104,49152,51200,53248,55296,57344,59392,61440,63488,65536,67584,69632,71680,73728,75776,77824,79872,81920,83968,86016,88064,90112,92160,94208,96256,98304,100352,102400,104448,106496,108544,110592,112640,114688,116736,118784,120832,122880,124928,126976,129024,131072
NousResearch/CodeLlama-13b-hf,4.273087502,3.782966375,3.747891188,3.541493893,3.299672842,3.163071394,3.088324308,2.97326231,2.869639635,2.830187321,2.766177654,2.732852697,2.71192503,2.675392389,2.651535273,2.626380444,2.595819712,2.57420063,2.565205336,2.54873085,2.548609257,2.531494856,2.513749123,2.49823904,2.494235754,2.47132349,2.451201439,2.441103935,2.429980993,2.42084527,2.411242485,2.406718254,2.401376247,2.392701626,2.383884907,2.382179976,2.376464128,2.372499466,2.366471529,2.36151576,2.366015911,2.365545034,2.366862535,2.367699623,2.362401485,2.360276222,2.362963676,2.368350983,2.375911474,2.381812572,2.387961864,2.390213966,2.393273354,2.40162158,2.408063889,2.417190552,2.431198835,2.448834896,2.460363865,2.475495815,2.492848873,2.504173756,2.522003889,2.539400101
NousResearch/Yarn-Llama-2-13b-64k,3.806912899,3.401254654,3.407855988,3.251551151,3.067051172,2.947519541,2.885066032,2.790714741,2.706659317,2.674013376,2.620252371,2.590349197,2.572107077,2.539562941,2.519123554,2.495951176,2.469627142,2.448579311,2.439432859,2.42330575,2.422192097,2.404289961,2.387158632,2.372862101,2.367934942,2.348040104,2.33080554,2.320837259,2.30927825,2.300942659,2.291547298,2.288551807,2.289961576,2.297888994,2.351677656,2.57955718,3.007681847,3.473647833,4.030450344,4.767449379,5.804921627,7.070561409,8.51751709,10.1455431,12.00591183,14.04304886,16.28896713,18.62060165,21.09352684,23.62802124,26.40208626,29.29329681,32.39636993,35.62049103,38.97951889,42.42362595,46.07492828,50.00058746,53.85381699,58.07590485,62.6740799,67.68762207,73.16788483,78.88412476
NousResearch/Yarn-Llama-2-13b-128k,3.860970736,3.445932865,3.448999405,3.290391445,3.10351944,2.983279943,2.921168089,2.826341867,2.741844416,2.709266186,2.654923916,2.624872208,2.606542826,2.573714733,2.552715063,2.528698444,2.501633883,2.480374336,2.470992088,2.454633236,2.453536034,2.435217381,2.417454004,2.40269208,2.397391081,2.377074718,2.3593328,2.348656893,2.336751699,2.327668667,2.317125559,2.311721802,2.305166483,2.294796467,2.284498453,2.280540466,2.27330637,2.268487453,2.26162529,2.254907846,2.254883528,2.252135038,2.24918437,2.246737003,2.238143206,2.231673002,2.22956872,2.230200291,2.231621504,2.232100725,2.232689619,2.230055332,2.227398157,2.228141785,2.225455523,2.224666595,2.226955652,2.229412079,2.228803635,2.231298923,2.234647036,2.23429656,2.237049818,2.239109278
togethercomputer/LLaMA-2-7B-32K,4.155766964,3.695604801,3.69126153,3.506507397,3.287930489,3.151707888,3.082172155,2.973427534,2.87671876,2.838195324,2.775708914,2.741379976,2.720355511,2.682943344,2.659923792,2.635623455,3.138739586,4.002960682,5.53152132,7.911962032,10.89597988,14.6881752,19.60680199,25.84499931,34.02965927,44.28824234,58.05148315,75.64293671,97.0128479,122.897522,153.1299286,187.6531525,229.0131073,274.9129639,329.1715088,394.709259,467.8532715,549.4265137,643.2252808,742.9885254,857.225708,969.8421631,1095.236816,1230.364868,1362.941528,1507.267578,1692.917969,1920.873657,2199.592285,2507.515869,2852.171143,3203.650635,3574.250977,3996.98584,4537.44873,5184.702637,6004.256348,6606.742676,7038.255859,7528.726562,8116.672852,8968.637695,10048.38281,11458.37891
NousResearch/CodeLlama-7b-hf,4.46213007,3.954604864,3.93326354,3.714056969,3.456939936,3.310533762,3.228844643,3.107144594,2.998012304,2.954304457,2.886570454,2.854606152,2.833822489,2.794210434,2.77005291,2.744535208,2.714225054,2.692722321,2.685347557,2.670629263,2.67561245,2.660611629,2.645694733,2.630815983,2.628546476,2.605154514,2.585397959,2.576208591,2.565323353,2.556936026,2.549165726,2.546676874,2.543354273,2.53632021,2.529965162,2.530725718,2.526273012,2.524932146,2.520926237,2.518762827,2.526155233,2.528147936,2.531188011,2.534967422,2.529437304,2.527860165,2.531913042,2.538416147,2.547965765,2.554723978,2.561625957,2.563698053,2.565192461,2.571644068,2.573992252,2.579402924,2.591320276,2.60629487,2.616500378,2.632394314,2.651987553,2.665081501,2.686140537,2.705837965
NousResearch/Yarn-Llama-2-7b-64k,4.140674114,3.68923521,3.686704159,3.506547213,3.29269886,3.16106081,3.094652176,2.987483501,2.892051935,2.85571456,2.794786453,2.760071754,2.740739346,2.703416824,2.680655718,2.654691696,2.623630524,2.601610899,2.59185791,2.57383728,2.57201004,2.551998854,2.532728672,2.516901731,2.511267185,2.489012718,2.469356775,2.457770824,2.444830179,2.43555069,2.424718618,2.421703339,2.427140951,2.441857338,2.490459681,2.610041857,2.92416954,3.400960207,3.937628746,4.631416321,5.472755909,6.437920094,7.533967972,8.803408623,10.2223444,11.78959942,13.58889198,15.5106535,17.6680088,20.011549,22.51984406,25.25511551,28.12402344,31.22803879,34.65332413,38.36104584,42.42313004,46.62594604,50.83547211,,,,,
NousResearch/Yarn-Llama-2-7b-128k,4.213690758,3.752393484,3.748307467,3.562077045,3.342643738,3.209561348,3.142821312,3.035613537,2.938964605,2.902445078,2.840379715,2.805624247,2.785522223,2.747549295,2.724321604,2.698002338,2.666688919,2.644493818,2.63421607,2.615665674,2.613620996,2.592806339,2.572926044,2.556559086,2.550908089,2.527721167,2.507618904,2.495225668,2.481578827,2.471572161,2.460015297,2.453372717,2.446470499,2.435064077,2.423389673,2.419371367,2.411088943,2.405922651,2.398278236,2.390570879,2.390710831,2.387418032,2.384321451,2.381688356,2.371665239,2.364724159,2.362744331,2.363505602,2.365161896,2.365767002,2.36630702,2.363711119,2.360804796,2.361681461,2.358406067,2.357491255,2.360047102,2.36299324,2.36221838,2.364833593,2.368324041,2.367149591,2.370092154,2.372046709
