,2048,4096,6144,8192,10240,12288,14336,16384
emozilla/Yarn-Llama-2-7b-8k,3.9184463024139404,3.5097882747650146,3.5142462253570557,3.3563895225524902,6.0485148429870605,18.118249893188477,41.190216064453125,77.2326889038086
emozilla/NTK-Llama-2-7b-8k,4.202556610107422,3.750666856765747,3.7433838844299316,3.586596727371216,6.235434532165527,18.260393142700195,41.89409255981445,74.43867492675781
conceptofmind/LLongMA-2-7b,3.9218568801879883,3.509538412094116,3.5088977813720703,3.344118118286133,8.071100234985352,23.530475616455078,54.98833465576172,102.7402114868164
